ID	CONCEPT_A	CONCEPT_B	FREQUENCY
2080	PERMIT	SEND	0.02
2081	HAY	PLANT (VEGETATION)	0.02
2082	CLEAN (SOMETHING)	WIPE	0.02
2083	NOSE	NOSTRIL	0.02
2084	ARRIVE	RIPEN	0.02
2085	CAUSE	DO OR MAKE	0.02
2086	CARRY	GIVE	0.02
2087	FLEE	LEAVE	0.02
2088	DESTROY	GRIND	0.02
2089	NATIVE COUNTRY	VILLAGE	0.02
2090	CALL	SHRIEK	0.02
2091	EAT	SUCK	0.02
2092	BUTTOCKS	TAIL	0.02
2093	AFTER	LAST (FINAL)	0.02
2094	BAD	DEMON	0.02
2095	BAD	ROTTEN	0.02
2096	ADMIT	BELIEVE	0.02
2097	BLOW (OF WIND)	BREATHE	0.02
2098	BREATHE	WIND	0.02
2099	PARENTS	RELATIVES	0.02
2100	GRIND	THRESH	0.02
2101	DIVE	GUEST OR STRANGER	0.02
2102	BETWEEN	GAP (DISTANCE)	0.02
2103	CHILD (DESCENDANT)	CLAN	0.02
2104	FEVER	SICK	0.02
2105	BRAIN	HEAD	0.02
2106	LEATHER	SKIN (OF FRUIT)	0.02
2107	BIRD	CHICKEN	0.02
2108	DIG	SCRAPE	0.02
2109	SLEEP	SLEEP (STATE)	0.02
2110	SKY	WORLD	0.02
2111	BORROW	GET	0.02
2112	BAIT	WORM	0.02
2113	EDGE	PRECIPICE	0.02
2114	SMELL (PERCEIVE)	STINKING	0.02
2115	END (OF SPACE)	TAIL	0.02
2116	CARRY	GRASP	0.02
2117	DRY	EMPTY	0.02
2118	SHOUT	SING	0.02
2119	PLACE (POSITION)	TIME	0.02
2120	BLAME	MISTAKE	0.02
2121	LEASH	STRING	0.02
2122	MONEY	SCALE	0.02
2123	RIDE	WALK	0.02
2124	JEWEL	STONE OR ROCK	0.02
2125	ANCESTORS	PARENTS	0.02
2126	HIGH	SKY	0.02
2127	DEAF	MUTE	0.02
2128	LEATHER	SHELL	0.02
2129	BURN (SOMETHING)	HOT	0.02
2130	MEAD	WINE	0.02
2131	DIVORCE	LEAVE	0.02
2132	FISHHOOK	TRAP (PITFALL)	0.02
2133	HOLD	TOUCH	0.02
2134	GOOD	LOVE	0.02
2135	MEETING HOUSE	TEMPLE	0.02
2136	COME BACK	GO	0.02
2137	LEAD (GUIDE)	SEND	0.02
2138	TURN (SOMETHING)	WRAP	0.02
2139	CONVEY (A MESSAGE)	TELL	0.02
2140	LAKE	WATER	0.02
2141	PREACH	SPEAK	0.02
2142	PLANT (VEGETATION)	SOW SEEDS	0.02
2143	LOUD	SOUND OR NOISE	0.02
2144	ADMIT	PROMISE	0.02
2145	GROW	PLANT (SOMETHING)	0.02
2146	IN	WITH	0.02
2147	DWELL (LIVE, RESIDE)	HAVE	0.02
2148	BECOME	SUCCEED	0.02
2149	OLD WOMAN	WIFE	0.02
2150	SHIRT	SKIRT	0.02
2151	CARVE	DIG	0.02
2152	LEAVE	SEPARATE	0.02
2153	BEAM	TREE	0.02
2154	DO	WORK (LABOUR)	0.02
2155	GRIND	KNEAD	0.02
2156	FOOD	LUNCH	0.02
2157	PULL	PUSH	0.02
2158	IMITATE	STUDY	0.02
2159	CAT	DOG	0.02
2160	ANSWER	PAY	0.02
2161	CARRY	HEAR	0.02
2162	ARRIVE	BECOME	0.02
2163	GRIND	PUSH	0.02
2164	SCOLD	THREATEN	0.02
2165	DRIVE	MOVE	0.02
2166	OLDER SIBLING	SISTER	0.02
2167	BROTHER	OLDER SIBLING	0.02
2168	HOLE	SPRING OR WELL	0.02
2169	ANIMAL	THING	0.02
2170	ACHE	BECOME SICK	0.02
2171	BROTHER	YOUNGER SIBLING	0.02
2172	FEEL	SMELL (STINK)	0.02
2173	URINE	WATER	0.02
2174	SAY	SING	0.02
2175	CUT	STAB	0.02
2176	LIGHT (WEIGHT)	LUNG	0.02
2177	SOW SEEDS	SPREAD OUT	0.02
2178	MARRY	SLEEP	0.02
2179	FOLLOW	IMITATE	0.02
2180	COUSIN	MOTHER'S SISTER	0.02
2181	GRANDFATHER	GRANDPARENTS	0.02
2182	ANNOUNCE	SPEECH	0.02
2183	EMBRACE	KISS	0.02
2184	BLANKET	PONCHO	0.02
2185	FATHER	HUSBAND	0.02
2186	ADMIT	SAY	0.02
2187	FLESH	SKIN	0.02
2188	BAD	DIRTY	0.02
2189	CHILD (DESCENDANT)	GRANDDAUGHTER	0.02
2190	CLEVER	KNOW (SOMETHING)	0.02
2191	BURN (SOMETHING)	COOK (SOMETHING)	0.02
2192	CORNER	END (OF SPACE)	0.02
2193	DIG	STAB	0.02
2194	CALL BY NAME	INVITE	0.02
2195	CARRY ON SHOULDER	TAKE	0.02
2196	BE ALIVE	BE BORN	0.02
2197	BELIEVE	UNDERSTAND	0.02
2198	PART	SLICE	0.02
2199	BESIDE	EDGE	0.02
2200	HEART	LUNG	0.02
2201	CHOOSE	GATHER	0.02
2202	ABOVE	TOP	0.02
2203	BODY	PERSON	0.02
2204	CAN	TINPLATE	0.02
2205	CLOTH	SHIRT	0.02
2206	BUILD	HOLD	0.02
2207	DESCENDANTS	GRANDDAUGHTER	0.02
2208	SAME	SIMILAR	0.02
2209	CULTIVATE	WORK (LABOUR)	0.02
2210	DRINK	KISS	0.02
2211	GO UP (ASCEND)	WALK	0.02
2212	BECOME	COME	0.02
2213	HEAVY	LOAD	0.02
2214	SAY	THINK (BELIEVE)	0.02
2215	PIERCE	SEW	0.02
2216	GRAIN	RYE	0.02
2217	CORPSE	GHOST	0.02
2218	HALT (STOP)	STAND UP	0.02
2219	AWL	NEEDLE (FOR SEWING)	0.02
2220	BREAD	FLOUR	0.02
2221	BLOW (OF WIND)	FLY (MOVE THROUGH AIR)	0.02
2222	ASK (INQUIRE)	HEAR	0.02
2223	SEEM	SHOW	0.02
2224	SEE	THINK (BELIEVE)	0.02
2225	OUTSIDE	UP	0.02
2226	ARRIVE	BE BORN	0.02
2227	FORGET	LOSE	0.02
2228	CULTIVATE	DO OR MAKE	0.02
2229	CHEAP	LIGHT (WEIGHT)	0.02
2230	GRASP	TOUCH	0.02
2231	RAIN (PRECIPITATION)	RAIN (RAINING)	0.02
2232	DEEP	LOW	0.02
2233	BOTTOM	DEEP	0.02
2234	GLUE	SAP	0.02
2235	PLAIN	SMOOTH	0.02
2236	POST	RIDGEPOLE	0.02
2237	PITCHFORK	RAKE	0.02
2238	DECEIT	WRONG	0.02
2239	ROOF	TOP	0.02
2240	CANOE	TROUGH	0.02
2241	FLOW	SAIL	0.02
2242	IMITATE	TASTE (SOMETHING)	0.02
2243	NIECE	STEPDAUGHTER	0.02
2244	BEAD	SEED	0.02
2245	EYE	GRAIN	0.02
2246	BODY	MEAT	0.02
2247	BREATHE	HEART	0.02
2248	FOLD	ROLL	0.02
2249	BOIL (OF SKIN)	WOUND	0.02
2250	CLAY	WORLD	0.02
2251	LIGHT (RADIATION)	WHITE	0.02
2252	MISS (A TARGET)	WRONG	0.02
2253	DO OR MAKE	SPEAK	0.02
2254	DOOR	MOUTH	0.02
2255	FAMILY	ROOM	0.02
2256	MAKE	WORK (ACTIVITY)	0.02
2257	HARD	STINGY	0.02
2258	CHILD (DESCENDANT)	YOUNG MAN	0.02
2259	I	WE (INCLUSIVE)	0.02
2260	CEASE	DISAPPEAR	0.02
2261	BREAK (OF ROPE)	CUT	0.02
2262	BEAT	CHIME (ACTION)	0.02
2263	BEARD	JAW	0.02
2264	CROOKED	TWIST	0.02
2265	RAIN (PRECIPITATION)	YEAR	0.02
2266	GRAVE	PIT (POTHOLE)	0.02
2267	BLANKET	CLOAK	0.02
2268	COUNTRY	PEOPLE	0.02
2269	FATHER	GRANDFATHER	0.02
2270	DO	GIVE	0.01
2271	DIVIDE	LEAVE	0.01
2272	BOARD	TREE	0.01
2273	SAY	WANT	0.01
2274	GOD	KING	0.01
2275	BECAUSE	WHEN	0.01
2276	KNEAD	TWIST	0.01
2277	PLACE (POSITION)	PUT	0.01
2278	AND	YES	0.01
2279	ANSWER	SAY	0.01
2280	CUT	SEPARATE	0.01
2281	CITIZEN	RELATIVES	0.01
2282	PLACE (POSITION)	ROOM	0.01
2283	FATHER'S SISTER	UNCLE	0.01
2284	AUNT	MOTHER'S BROTHER	0.01
2285	FATHER	MALE	0.01
2286	DAY (24 HOURS)	WEATHER	0.01
2287	DAUGHTER-IN-LAW (OF WOMAN)	NIECE	0.01
2288	DOOR	PATH	0.01
2289	TIE	WEAVE	0.01
2290	GRAVE	HOLE	0.01
2291	ROUGH	SHARP	0.01
2292	THINK (BELIEVE)	WANT	0.01
2293	DEFENDANT	GUILTY	0.01
2294	REEF	STONE OR ROCK	0.01
2295	BOUNDARY	SIDE	0.01
2296	DAY BEFORE YESTERDAY	YESTERDAY	0.01
2297	DOWN	GO DOWN (DESCEND)	0.01
2298	KEEP	RESCUE	0.01
2299	BORROW	CARRY	0.01
2300	LAND	SAND	0.01
2301	BELIEVE	THINK (REFLECT)	0.01
2302	NAIL (TOOL)	PIN	0.01
2303	AUNT	FATHER'S BROTHER	0.01
2304	BREAK (DESTROY OR GET DESTROYE	DAMAGE	0.01
2305	DAY (24 HOURS)	TIME	0.01
2306	FRIEND	SISTER	0.01
2307	CITIZEN	NEIGHBOUR	0.01
2308	ANKLE	KNOT	0.01
2309	BIG	ENOUGH	0.01
2310	BRING	HOLD	0.01
2311	FIREWOOD	MATCH	0.01
2312	FLOW	GO DOWN (DESCEND)	0.01
2313	CAPE	TOP	0.01
2314	BOWL	JUG	0.01
2315	SHALLOW	SHORT	0.01
2316	CLUB	FIREWOOD	0.01
2317	BERRY	GRAIN	0.01
2318	LETTER	POSTCARD	0.01
2319	STRIKE OR BEAT	THROW	0.01
2320	LEAD (GUIDE)	TEACH	0.01
2321	FRAGRANT	STINKING	0.01
2322	GET	MARRY	0.01
2323	FULL	THICK	0.01
2324	NEPHEW	UNCLE	0.01
2325	HEAVEN	UP	0.01
2326	CLAN	VILLAGE	0.01
2327	DISAPPEAR	FLEE	0.01
2328	COOK (SOMETHING)	DO OR MAKE	0.01
2329	HUNGER	THIRST	0.01
2330	BAD LUCK	OMEN	0.01
2331	DOWN OR BELOW	FLOOR	0.01
2332	CARRY IN HAND	HAVE	0.01
2333	ANGER	BAD	0.01
2334	FORTRESS	WALL (OF HOUSE)	0.01
2335	HAPPEN	PASS	0.01
2336	FATHER-IN-LAW (OF WOMAN)	PARENTS-IN-LAW	0.01
2337	ARRIVE	FIND	0.01
2338	HAPPY	LOVE	0.01
2339	ASK (INQUIRE)	CALL	0.01
2340	EYE	FRUIT	0.01
2341	HAPPINESS	JOY	0.01
2342	LETTER	MAIL	0.01
2343	SON	STEPSON	0.01
2344	BEVERAGE	FOOD	0.01
2345	LAND	PLAIN	0.01
2346	HUNT	TAKE	0.01
2347	MALE	PERSON	0.01
2348	NEAR	SOON	0.01
2349	LOVE	NEED (NOUN)	0.01
2350	MALE	PENIS	0.01
2351	BEAK	END (OF SPACE)	0.01
2352	BEHIND	BELOW OR UNDER	0.01
2353	LOOK FOR	NEED (NOUN)	0.01
2354	RULE	SEND	0.01
2355	EAT	SWALLOW	0.01
2356	ANSWER	OBEY	0.01
2357	FOAM	LUNG	0.01
2358	AGAIN	NEW	0.01
2359	GOOD	HAPPY	0.01
2360	CHILD (YOUNG HUMAN)	PUPIL (STUDENT)	0.01
2361	LEAD (GUIDE)	TAKE	0.01
2362	ASK (REQUEST)	BUY	0.01
2363	GIVE BACK	PAY	0.01
2364	CORNER	ELBOW	0.01
2365	FIRE	RED	0.01
2366	KID	LAMB	0.01
2367	HEAVEN	WEATHER	0.01
2368	PUT	SEND	0.01
2369	FEW	LOW	0.01
2370	NIECE	YOUNGER SISTER	0.01
2371	BLOW (OF WIND)	WHISTLE	0.01
2372	BRANCH	WING	0.01
2373	ENTER	PUT ON	0.01
2374	OFTEN	SOMETIMES	0.01
2375	HONEY	SWEET	0.01
2376	MALE	YOUNG MAN	0.01
2377	BREATH	LIFE	0.01
2378	CHOOSE	GET	0.01
2379	POTATO	YAM	0.01
2380	CASSAVA	MANIOC BREAD	0.01
2381	CROW	VULTURE	0.01
2382	CARVE	WRITE	0.01
2383	GATHER	PUT	0.01
2384	MOTHER	STEPMOTHER	0.01
2385	CROCODILE	LIZARD	0.01
2386	ONE	WHAT	0.01
2387	FAST	STRONG	0.01
2388	BRING	DRIVE	0.01
2389	HUNT	KILL	0.01
2390	HOLE	HOLLOW OUT	0.01
2391	EGG	PENIS	0.01
2392	DWELL (LIVE, RESIDE)	LIE DOWN	0.01
2393	PICK	TEAR (SHRED)	0.01
2394	DEEP	INSIDE	0.01
2395	HEAD	ROOF	0.01
2396	FLAT	FLOOR	0.01
2397	DUST	MUD	0.01
2398	NOT	WITHOUT	0.01
2399	FLEE	JUMP	0.01
2400	DIVE	DROWN	0.01
2401	CHIEFTAIN	PRESIDENT	0.01
2402	FENCE	FORTRESS	0.01
2403	PRESS	RAPE	0.01
2404	FIND	LOOK	0.01
2405	RING (MAKE SOUND)	TINKLE	0.01
2406	BETWEEN	SPACE (AVAILABLE)	0.01
2407	PEOPLE	RELATIVES	0.01
2408	KNEE	KNEEL	0.01
2409	LEAF	THATCH	0.01
2410	CITIZEN	FRIEND	0.01
2411	HOW	WHEN	0.01
2412	ADMIT	PREACH	0.01
2413	FORGET	FORGIVE	0.01
2414	MOTHER-IN-LAW (OF MAN)	SON-IN-LAW (OF MAN)	0.01
2415	CLAW	HAND	0.01
2416	CAVE	DITCH	0.01
2417	NOISE	VOICE	0.01
2418	CRY	SHOUT	0.01
2419	KNEAD	PRESS	0.01
2420	CUT DOWN	THROW	0.01
2421	BREATHE	SUCK	0.01
2422	LISTEN	SMELL (PERCEIVE)	0.01
2423	MAN	OLD MAN	0.01
2424	REMEMBER	UNDERSTAND	0.01
2425	LATCH	PADLOCK	0.01
2426	HEAD	MIND	0.01
2427	SMELL (PERCEIVE)	TASTE (SOMETHING)	0.01
2428	MOTHER'S SISTER	SISTER	0.01
2429	CHILD (DESCENDANT)	NIECE	0.01
2430	MANNER	SIMILAR	0.01
2431	BUDGE (ONESELF)	SWAY	0.01
2432	BEHIND	OUTSIDE	0.01
2433	BE SILENT	CALM	0.01
2434	FLEE	HIDE (CONCEAL)	0.01
2435	DIG	SEW	0.01
2436	NAPE (OF NECK)	THROAT	0.01
2437	ADMIT	ANSWER	0.01
2438	ARM	FATHOM	0.01
2439	PERMIT	PUT	0.01
2440	RIDGEPOLE	TOP	0.01
2441	CANDLE	FIRE	0.01
2442	BLOOD	EAT	0.01
2443	BAMBOO	FLUTE	0.01
2444	GRIND	STAB	0.01
2445	MILK	NIPPLE	0.01
2446	EMBRACE	GRASP	0.01
2447	BLUE	GREY	0.01
2448	BLOW (OF WIND)	SHOOT	0.01
2449	HUSBAND	OLD MAN	0.01
2450	FIGHT	POUND	0.01
2451	SUSPECT	THINK (REFLECT)	0.01
2452	BLANKET	MAT	0.01
2453	SUGAR	SUGAR CANE	0.01
2454	CLOCK	TIME	0.01
2455	BAKE	BUILD	0.01
2456	BUILD	PLANT (SOMETHING)	0.01
2457	CROOKED	HOOK	0.01
2458	FATHER-IN-LAW (OF MAN)	PARENTS-IN-LAW	0.01
2459	GO DOWN (DESCEND)	WALK	0.01
2460	STEPFATHER	STEPMOTHER	0.01
2461	LOUSE	TOOTH	0.01
2462	GATHER	HARVEST	0.01
2463	GARDEN	PLAIN	0.01
2464	CRAWL	ENTER	0.01
2465	HAND	WING	0.01
2466	BURN	ROAST (SOMETHING)	0.21
2467	ROW	SWIM	0.11
2468	ABOVE	SKY	0.10
2469	PULL	WEIGH	0.09
2470	DEFEAT	LOSE	0.09
2471	ITCH	SWELLING	0.08
2472	BOOK	WORD	0.08
2473	THEIR	THEY	0.08
2474	ROW	SAIL	0.08
2475	GUESS	SEEM	0.08
2476	BLOOD	SAP	0.07
2477	STRETCH	WEIGH	0.07
2478	ADZE	BATTLE-AXE	0.07
2479	SHOUT	VOICE	0.07
2480	OTHER	SECOND	0.07
2481	RUDDER	SPADE	0.06
2482	EXPENSIVE	HOLY	0.06
2483	CORNER	HORN (ANATOMY)	0.06
2484	PISS	SHIT (DEFECATE)	0.06
2485	ANT	TERMITE	0.06
2486	SPIT	VOMIT	0.06
2487	COMMON COLD (DISEASE)	WIND	0.06
2488	PADDLE	SHOVEL	0.06
2489	LOW TIDE	TIDE	0.06
2490	MAN	SON	0.06
2491	MIDDAY	SOUTH	0.06
2492	FORTRESS	TOWER	0.06
2493	HE OR SHE	THEY	0.05
2494	DRY	HARD	0.05
2495	CHIMNEY	FIREPLACE	0.05
2496	BUY	CARRY	0.05
2497	HEAR	THINK	0.05
2498	MEDICINE	TREE	0.05
2499	TASTE (SOMETHING)	TOUCH	0.05
2500	SAGO PALM	THATCH	0.05
2501	GATHER	SWEEP	0.04
2502	COUNT	TELL	0.04
2503	TRANSLATE	TURN (SOMETHING)	0.04
2504	SMOKE (INHALE)	TOBACCO	0.04
2505	CORRECT (RIGHT)	SMOOTH	0.04
2506	BONE	CORPSE	0.04
2507	FOLD	GATHER	0.04
2508	LOOK	PRESERVE	0.04
2509	COPPER	IRON	0.04
2510	BE LATE	CEASE	0.04
2511	BEESWAX	EARWAX	0.04
2512	PREPARE	PRODUCE	0.04
2513	DIG	SCRATCH	0.04
2514	FROST	ICE	0.04
2515	CROOKED	WRONG	0.04
2516	BITTER	SHARP	0.04
2517	CHOOSE	SEPARATE	0.04
2518	ANNOUNCE	CALL BY NAME	0.04
2519	AGE	SEASON	0.04
2520	HAVE	RICH	0.04
2521	DARK	DEEP	0.04
2522	CHIME (ACTION)	SOUND (OF INSTRUMENT OR VOICE)	0.04
2523	DESTROY	RUB	0.04
2524	CHAIR	TABLE	0.04
2525	COME	GET	0.04
2526	KISS	SMELL (PERCEIVE)	0.04
2527	BECAUSE	WHY	0.04
2528	CARRY ON SHOULDER	LEAD (GUIDE)	0.04
2529	HEAD	KING	0.03
2530	GHOST	GOD	0.03
2531	EGG	SEED	0.03
2532	FEMALE (OF ANIMAL)	MOTHER	0.03
2533	FIRE	TREE	0.03
2534	INSIDE	STOMACH	0.03
2535	ASK (INQUIRE)	LISTEN	0.03
2536	COURT	JUDGMENT	0.03
2537	SICK	WEAK	0.03
2538	SPIRIT	WIND	0.03
2539	RUN	WALK	0.03
2540	JOIN	PILE UP	0.03
2541	HOST	HUSBAND	0.03
2542	HUSBAND	PERSON	0.03
2543	AFTER	BACK	0.03
2544	MOUTH	TOOTH	0.03
2545	MEAL	RICE	0.03
2546	BUY	GRASP	0.03
2547	FINGERNAIL	NAIL (TOOL)	0.03
2548	CLOTH	LINEN	0.03
2549	WALK	WALK (TAKE A WALK)	0.03
2550	FEEL (TACTUALLY)	RECOGNIZE (SOMEBODY)	0.03
2551	BETRAY	GIVE	0.03
2552	DRAW MILK	MILK	0.03
2553	BRASS INSTRUMENT (HORN OR TRUMPET)	CHIMNEY	0.03
2554	OLDER BROTHER	SISTER	0.03
2555	CROWD	ENOUGH	0.03
2556	HOLE	WINDOW	0.03
2557	BROKEN	SPLIT	0.03
2558	GO	STEP (VERB)	0.03
2559	BE BORN	HAPPEN	0.03
2560	DINNER (SUPPER)	MIDDAY	0.03
2561	DRIVE	PURSUE	0.03
2562	TONGUE	WORD	0.03
2563	CLAN	FAMILY	0.03
2564	TENDON	VEIN	0.03
2565	FEMALE	MARRIED WOMAN	0.03
2566	FULL	MANY	0.03
2567	FAT (OBESE)	THICK	0.03
2568	BUY	HOLD	0.03
2569	AT FIRST	FIRST	0.03
2570	SHOULDERBLADE	SPADE	0.03
2571	BELIEVE	WORSHIP	0.03
2572	HERD (SOMETHING)	PRESERVE	0.03
2573	GRAIN	OAT	0.03
2574	GO	PASS	0.03
2575	PICK UP	PILE UP	0.03
2576	COUNTRY	SIDE	0.03
2577	SPIDER	SPIDER WEB	0.03
2578	FOOD	VEGETABLES	0.03
2579	BOY	DAUGHTER	0.03
2580	HATE	REFUSE	0.02
2581	SQUEEZE	SUCK	0.02
2582	BOUNDARY	END (OF TIME)	0.02
2583	TIME	WHEN	0.02
2584	DIFFICULT	POOR	0.02
2585	GRIND	SPLIT	0.02
2586	FAULT	SIN	0.02
2587	BEE	FLY (INSECT)	0.02
2588	CORRECT (RIGHT)	FLAT	0.02
2589	RUDDER	SHOVEL	0.02
2590	STRENGTH	VIOLENCE	0.02
2591	REMAIN	REMAINS	0.02
2592	SATURDAY	WEEK	0.02
2593	GO	LAST (ENDURE)	0.02
2594	DEFEND	HERD (SOMETHING)	0.02
2595	HARVEST	MOW	0.02
2596	CROWD	OFTEN	0.02
2597	ANXIETY	DANGER	0.02
2598	BUNCH	VINE	0.02
2599	LIGHT (COLOR)	LIGHT (WEIGHT)	0.02
2600	BRING	COME	0.02
2601	MEETING HOUSE	MEN'S HOUSE	0.02
2602	BUTTON	KNOT	0.02
2603	ENTER	GO	0.02
2604	CALL	READ	0.02
2605	HEAVY	THICK	0.02
2606	CORRECT (RIGHT)	TRUTH	0.02
2607	REMAIN	STAND	0.02
2608	BRANCH	TREE TRUNK	0.02
2609	SKULL	TOP	0.02
2610	THING	WORK (LABOUR)	0.02
2611	DASH (OF VEHICLE)	FLY (MOVE THROUGH AIR)	0.02
2612	EDGE	END (OF TIME)	0.02
2613	SPADE	WAIST	0.02
2614	CHIEFTAIN	SHAMAN (FOLK HEALER)	0.02
2615	JUDGMENT	LAW	0.02
2616	NOOSE	TRAP (PITFALL)	0.02
2617	COLLARED PECCARY	WHITE-LIPPED PECCARY	0.02
2618	ITCH	SCRATCH	0.02
2619	FULL	SWELL	0.02
2620	COMB	RAKE	0.02
2621	FEEL (TACTUALLY)	UNDERSTAND	0.02
2622	POST	WALKING STICK	0.02
2623	EXPENSIVE	HARD	0.02
2624	GOD	WORLD	0.02
2625	BELT	WAIST	0.02
2626	DRIBBLE	FLOW	0.02
2627	GRIEF	PITY	0.02
2628	BLACKSMITH	FORGE	0.02
2629	COURT	LAW	0.02
2630	COLLARBONE	SHOULDER	0.02
2631	TRANSLATE	TURN AROUND	0.02
2632	ANNOUNCE	PREACH	0.02
2633	BECOME	REMAIN	0.02
2634	BAKE	STOVE	0.02
2635	DO OR MAKE	SING	0.02
2636	SEE	SEEM	0.02
2637	SWIM	WASH	0.02
2638	KISS	SNIFF	0.02
2639	RIGHT	TRUE	0.02
2640	ENOUGH	MORE	0.02
2641	MEDICINE	TOBACCO	0.02
2642	CARRY ON HEAD	TAKE	0.02
2643	FALL	GO	0.02
2644	I	SAY	0.02
2645	LOOK FOR	SEE	0.02
2646	CONCEIVE	THINK (REFLECT)	0.02
2647	CLOTH	COTTON	0.02
2648	CURE	PRESERVE	0.02
2649	GOOD	STRAIGHT	0.02
2650	ROPE	TIE	0.02
2651	GUEST	RELATIVES	0.02
2652	ARROW	SUGAR CANE	0.02
2653	MAINLAND	PLACE (POSITION)	0.02
2654	TEAR (OF EYE)	TEAR (SHRED)	0.02
2655	DAUGHTER	FEMALE	0.02
2656	EARN	FIND	0.02
2657	FORWARD	IN FRONT OF	0.02
2658	LAST (ENDURE)	STAND	0.02
2659	HEADBAND	HELMET	0.02
2660	CALL	SING	0.02
2661	CONNECT	KNIT	0.02
2662	MEANING	MIND	0.02
2663	BRACELET	WHEEL	0.02
2664	DRIP (FALL IN GLOBULES)	LOSE	0.02
2665	FOOTPRINT	SCAR	0.02
2666	NOISE	TONE (MUSIC)	0.02
2667	CARPENTER	MASON	0.02
2668	FIVE	HAND	0.02
2669	FLOWER	RED	0.02
2670	DRIBBLE	SPIT	0.02
2671	BIG	OLD (AGED)	0.02
2672	GET	SEIZE	0.02
2673	WE	YOU	0.02
2674	DIE	HEAR	0.02
2675	GIVE	HEAR	0.02
2676	EGG	STONE	0.02
2677	OPEN	SPREAD OUT	0.02
2678	COUSIN	UNCLE	0.02
2679	CARRY	SEND	0.02
2680	HURRY	RUN	0.02
2681	ANCESTORS	DESCENDANTS	0.02
2682	BAD	DAMAGE (INJURY)	0.02
2683	AND	IF	0.02
2684	SPEAR	STAB	0.02
2685	ROTTEN	WET	0.02
2686	ADOBE	MUD	0.02
2687	COUSIN	MOTHER'S BROTHER	0.02
2688	DRIP (EMIT LIQUID)	FALL	0.02
2689	THRESHING-FLOOR	YARD	0.02
2690	CALF OF LEG	KNEE	0.02
2691	BREAK (DESTROY OR GET DESTROYED)	FOLD	0.02
2692	HOLD	RULE	0.02
2693	GO	LET GO OR SET FREE	0.02
2694	GATHER	WRAP	0.02
2695	EAT	FALL	0.02
2696	PULL OFF (SKIN)	SCRAPE	0.02
2697	HOW MANY	SOME	0.02
2698	SECOND	TWO	0.02
2699	GOOD	READY	0.02
2700	ENTER	GO OUT	0.02
2701	GOAT	LAMB	0.02
2702	BUILD	COOK (SOMETHING)	0.02
2703	DEW	SNOW	0.02
2704	GRANDFATHER	UNCLE	0.02
2705	FOLD	PUT	0.02
2706	BE LATE	PREVENT	0.02
2707	CAUSE	FAULT	0.02
2708	FACE	SIDE	0.02
2709	BAY	PORT	0.02
2710	RUB	SQUEEZE	0.02
2711	BROTHER	FATHER'S BROTHER	0.02
2712	COAST	FRINGE	0.02
2713	BEGIN	HEAD	0.02
2714	ABOVE	HIGH	0.02
2715	PLANT (SOMETHING)	PUT	0.02
2716	BOUNDARY	SHORE	0.02
2717	BOY	MAN	0.02
2718	FUR	SKIN (OF FRUIT)	0.02
2719	POINTED	TIP (OF OBJECT)	0.02
2720	LANGUAGE	SOUND OR NOISE	0.02
2721	FOLD	PICK UP	0.02
2722	FATHER'S SISTER	SISTER	0.02
2723	CRY	REGRET	0.02
2724	POST	STICK	0.02
2725	IDEA	THINK (BELIEVE)	0.02
2726	STAB	STRIKE OR BEAT	0.02
2727	RIB	SIDE	0.02
2728	ONE	OTHER	0.02
2729	NEWS	STORY	0.02
2730	GRAIN	NUT	0.02
2731	BEARD	HAIR (BODY)	0.02
2732	BUILD	CULTIVATE	0.02
2733	BITE	SHOOT	0.02
2734	DESCENDANTS	GRANDSON	0.02
2735	AREA	FRINGE	0.02
2736	RAG	VEIL	0.02
2737	WE (INCLUSIVE)	WE TWO (INCLUSIVE)	0.02
2738	CITRUS FRUIT	SOUR	0.02
2739	GIVE	I	0.02
2740	LEAVE	PASS	0.02
2741	BREAST	SUCK	0.02
2742	FLAME	RED	0.02
2743	GUESS	REMEMBER	0.02
2744	CAVE	GRAVE	0.02
2745	BLAME	SCOLD	0.02
2746	BEVERAGE	WINE	0.02
2747	SLIP	SMOOTH	0.02
2748	ANCHOR	HOOK	0.02
2749	MESSAGE	STORY	0.02
2750	COME	ENTER	0.02
2751	ANGER	ENVY	0.02
2752	BOARD	FLAT	0.02
2753	BOIL (OF LIQUID)	BOIL (OF SKIN)	0.02
2754	CUT	SAW	0.02
2755	AND	OR	0.02
2756	SPEECH	TALK	0.02
2757	BROTHER	FRIEND	0.02
2758	LIFT	WEIGH	0.02
2759	GRAIN	RICE	0.02
2760	WORK (ACTIVITY)	WORK (LABOUR)	0.02
2761	IMPROVE (SOMETHING)	REPAIR	0.02
2762	DIG	LIE DOWN	0.02
2763	DISH	TABLE	0.02
2764	PRISON	STABLE	0.02
2765	HOLE	MOUTH	0.02
2766	COTTON	LINEN	0.02
2767	FINE OR THIN	NARROW	0.02
2768	NORTH	UP	0.02
2769	PULL OFF (SKIN)	SKIN	0.02
2770	TEMPLE	TEMPLES	0.02
2771	BRACELET	RING	0.02
2772	SICK	TIRED	0.02
2773	OVEN	ROAST OR FRY	0.02
2774	MOW	STRIKE OR BEAT	0.02
2775	EARTH (SOIL)	PLAIN	0.02
2776	PROTECT	RESCUE	0.02
2777	BEAM	BOARD	0.02
2778	ADJUDICATE	GUESS	0.02
